TL = 80000
graph = googlenet
version = 
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [62/100] 1.00478
CPU Small [63/100] 0.784933
CPU Small [64/100] 0.89412
CPU Small [65/100] 0.57779
CPU Small [66/100] 0.637143
CPU Small [67/100] 0.77461
CPU Small [68/100] 0.779418
CPU Small [69/100] 0.938876
CPU Small [70/100] 1.0459
CPU Small [71/100] 0.836063
CPU Small [72/100] 1.09155
CPU Small [73/100] 1.02281
CPU Small [74/100] 1.08706
CPU Small [75/100] 0.815849
CPU Small [76/100] 0.929372
CPU Small [77/100] 0.78439
CPU Small [78/100] 0.774866
CPU Small [79/100] 0.449776
CPU Small [80/100] 1.03571
CPU Small [81/100] 0.959511
CPU Small [82/100] 0.815732
CPU Small [83/100] 0.594992
CPU Small [84/100] 1.07468
CPU Small [85/100] 0.808589
CPU Small [86/100] 0.455089
CPU Small [87/100] 1.14292
CPU Small [88/100] 0.892121
CPU Small [89/100] 0.875857
CPU Small [90/100] 1.07052
CPU Small [91/100] 1.05158
CPU Small [92/100] 0.814312
CPU Small [93/100] 0.521035
CPU Small [94/100] 1.07746
CPU Small [95/100] 1.22516
CPU Small [96/100] 0.59026
CPU Small [97/100] 0.78089
CPU Small [98/100] 0.80851
CPU Small [99/100] 0.702722
CPU Small [100/100] 0.915278
CPU Small Average 0.860614
[2/3] Processing CPU Big
CPU Big [1/100] 0.841635
CPU Big [2/100] 0.801874
CPU Big [3/100] 0.805045
CPU Big [4/100] 0.925379
CPU Big [5/100] 0.78026
CPU Big [6/100] 0.990669
CPU Big [7/100] 0.994081
CPU Big [8/100] 0.935382
CPU Big [9/100] 0.529753
CPU Big [10/100] 1.10242
CPU Big [11/100] 0.642516
CPU Big [12/100] 0.687366
CPU Big [13/100] 0.827298
CPU Big [14/100] 0.633895
CPU Big [15/100] 0.980924
CPU Big [16/100] 0.816367
CPU Big [17/100] 0.914986
CPU Big [18/100] 0.980385
CPU Big [19/100] 1.04819
CPU Big [20/100] 0.741388
CPU Big [21/100] 0.936493
CPU Big [22/100] 0.92633
CPU Big [23/100] 0.457822
CPU Big [24/100] 1.29933
CPU Big [25/100] 0.987191
CPU Big [26/100] 0.688728
CPU Big [27/100] 0.822747
CPU Big [28/100] 0.841308
CPU Big [29/100] 0.801326
CPU Big [30/100] 0.839487
CPU Big [31/100] 0.547737
CPU Big [32/100] 0.634107
CPU Big [33/100] 1.35896
CPU Big [34/100] 0.8174
CPU Big [35/100] 0.548131
CPU Big [36/100] 1.0037
CPU Big [37/100] 0.878219
CPU Big [38/100] 1.02635
CPU Big [39/100] 0.761782
CPU Big [40/100] 0.907808
CPU Big [41/100] 0.939182
CPU Big [42/100] 0.815802
CPU Big [43/100] 0.70427
CPU Big [44/100] 1.01679
CPU Big [45/100] 0.691358
CPU Big [46/100] 0.873146
CPU Big [47/100] 0.813064
CPU Big [48/100] 0.970963
CPU Big [49/100] 0.985334
CPU Big [50/100] 0.776723
CPU Big [51/100] 0.565333
CPU Big [52/100] 0.940801
CPU Big [53/100] 0.843329
CPU Big [54/100] 0.727069
CPU Big [55/100] 0.90622
CPU Big [56/100] 0.702637
CPU Big [57/100] 0.892183
CPU Big [58/100] 0.908717
CPU Big [59/100] 0.752522
CPU Big [60/100] 0.807864
CPU Big [61/100] 0.941214
CPU Big [62/100] 0.944677
CPU Big [63/100] 0.772183
CPU Big [64/100] 0.884185
CPU Big [65/100] 0.750054
CPU Big [66/100] 0.703558
CPU Big [67/100] 0.790938
CPU Big [68/100] 0.690929
CPU Big [69/100] 0.885789
CPU Big [70/100] 1.06107
CPU Big [71/100] 0.753322
CPU Big [72/100] 0.808167
CPU Big [73/100] 0.806506
CPU Big [74/100] 0.977384
CPU Big [75/100] 0.852546
CPU Big [76/100] 0.521812
CPU Big [77/100] 0.91872
CPU Big [78/100] 0.887328
CPU Big [79/100] 1.11207
CPU Big [80/100] 0.712793
CPU Big [81/100] 0.665284
CPU Big [82/100] 0.960987
CPU Big [83/100] 0.781592
CPU Big [84/100] 1.01943
CPU Big [85/100] 0.689991
CPU Big [86/100] 0.820992
CPU Big [87/100] 0.857149
CPU Big [88/100] 1.30791
CPU Big [89/100] 0.81536
CPU Big [90/100] 0.895005
CPU Big [91/100] 0.84385
CPU Big [92/100] 0.795313
CPU Big [93/100] 0.684052
CPU Big [94/100] 0.911358
CPU Big [95/100] 0.86257
CPU Big [96/100] 0.933157
CPU Big [97/100] 1.07479
CPU Big [98/100] 0.878158
CPU Big [99/100] 0.789165
CPU Big [100/100] 0.891464
CPU Big Average 0.849509
[3/3] Processing GPU
GPU [1/100] 7.84471
GPU [2/100] 0.871333
GPU [3/100] 0.700068
GPU [4/100] 0.948849
GPU [5/100] 0.899143
GPU [6/100] 0.662039
GPU [7/100] 0.696766
GPU [8/100] 0.918708
GPU [9/100] 0.932495
GPU [10/100] 0.675417
GPU [11/100] 0.756078
GPU [12/100] 0.707959
GPU [13/100] 0.920232
GPU [14/100] 0.95163
GPU [15/100] 0.917114
GPU [16/100] 0.748462
GPU [17/100] 0.712523
GPU [18/100] 0.903344
GPU [19/100] 0.727023
GPU [20/100] 0.863839
GPU [21/100] 1.02015
GPU [22/100] 0.992111
GPU [23/100] 1.03642
GPU [24/100] 0.859201
GPU [25/100] 0.763776
GPU [26/100] 0.915755
GPU [27/100] 0.905022
GPU [28/100] 0.672099
GPU [29/100] 0.664346
GPU [30/100] 1.0537
GPU [31/100] 0.949689
GPU [32/100] 0.920579
GPU [33/100] 1.00208
GPU [34/100] 0.954534
GPU [35/100] 1.05099
GPU [36/100] 0.972957
GPU [37/100] 0.652828
GPU [38/100] 0.597978
GPU [39/100] 0.821523
GPU [40/100] 0.748084
GPU [41/100] 0.865883
GPU [42/100] 0.667355
GPU [43/100] 0.697841
GPU [44/100] 0.6813
GPU [45/100] 0.972587
GPU [46/100] 0.635277
GPU [47/100] 0.916741
GPU [48/100] 1.03534
GPU [49/100] 0.96683
GPU [50/100] 1.00822
GPU [51/100] 0.690093
GPU [52/100] 0.865358
GPU [53/100] 0.766187
GPU [54/100] 0.993309
GPU [55/100] 1.04984
GPU [56/100] 0.954902
GPU [57/100] 0.931198
GPU [58/100] 1.03025
GPU [59/100] 0.972853
GPU [60/100] 1.04498
GPU [61/100] 0.958107
GPU [62/100] 0.918931
GPU [63/100] 1.0176
GPU [64/100] 0.955445
GPU [65/100] 1.0391
GPU [66/100] 0.962851
GPU [67/100] 0.960457
GPU [68/100] 1.02944
GPU [69/100] 0.953223
GPU [70/100] 0.92399
GPU [71/100] 1.02122
GPU [72/100] 0.721937
GPU [73/100] 1.0262
GPU [74/100] 0.97404
GPU [75/100] 1.01496
GPU [76/100] 0.862894
GPU [77/100] 1.00592
GPU [78/100] 0.944686
GPU [79/100] 0.939665
GPU [80/100] 0.750085
GPU [81/100] 0.867191
GPU [82/100] 1.03035
GPU [83/100] 0.722163
GPU [84/100] 0.61787
GPU [85/100] 0.929112
GPU [86/100] 0.830745
GPU [87/100] 1.01169
GPU [88/100] 0.760833
GPU [89/100] 0.831916
GPU [90/100] 1.01486
GPU [91/100] 0.975633
GPU [92/100] 0.945699
GPU [93/100] 1.01155
GPU [94/100] 0.787009
GPU [95/100] 0.767979
GPU [96/100] 0.613417
GPU [97/100] 0.865639
GPU [98/100] 0.975815
GPU [99/100] 0.983134
GPU [100/100] 1.00879
GPU Average 0.9519
